Vectorization_Method_and_lead,R_n,Accuracy
Betti_Vectorization_all_1,R2_w7,0.7915613241449287
Betti_Vectorization_all_5,R2_w7,0.7933919587367353
Betti_Vectorization_all_10,R2_w7,0.789713778379064
Betti_Vectorization_all_100,R2_w7,0.7888048027734325
Betti_Vectorization_V1_1,R2_w7,0.7878995433789954
Betti_Vectorization_V1_5,R2_w7,0.7852359208523592
Betti_Vectorization_V1_10,R2_w7,0.7906773211567731
Betti_Vectorization_V1_100,R2_w7,0.8045281582952816
Betti_Vectorization_V2_1,R2_w7,0.7933789954337899
Betti_Vectorization_V2_5,R2_w7,0.798896499238965
Betti_Vectorization_V2_10,R2_w7,0.7823439878234397
Betti_Vectorization_V2_100,R2_w7,0.798972602739726
Betti_Vectorization_V3_1,R2_w7,0.7906773211567731
Betti_Vectorization_V3_5,R2_w7,0.798972602739726
Betti_Vectorization_V3_10,R2_w7,0.8045281582952816
Betti_Vectorization_V3_100,R2_w7,0.7767884322678843
Betti_Vectorization_V1_V2_1,R2_w7,0.7933963155408597
Betti_Vectorization_V1_V2_5,R2_w7,0.7933963155408598
Betti_Vectorization_V1_V2_10,R2_w7,0.7906471421823336
Betti_Vectorization_V1_V2_100,R2_w7,0.7851204534718942
Betti_Vectorization_V1_V3_1,R2_w7,0.7933963155408597
Betti_Vectorization_V1_V3_5,R2_w7,0.7878979688238074
Betti_Vectorization_V1_V3_10,R2_w7,0.792045347189419
Betti_Vectorization_V1_V3_100,R2_w7,0.7865281058101086
Betti_Vectorization_V2_V3_1,R2_w7,0.789258384506377
Betti_Vectorization_V2_V3_5,R2_w7,0.7961549362305149
Betti_Vectorization_V2_V3_10,R2_w7,0.7906188001889467
Betti_Vectorization_V2_V3_100,R2_w7,0.7947283892300425
Pers_Vec_Vectorization_all,R2_w7,0.7924829831311039
Pers_Vec_Vectorization_V1,R2_w7,0.7796042617960426
Pers_Vec_Vectorization_V2,R2_w7,0.7961948249619482
Pers_Vec_Vectorization_V3,R2_w7,0.7933789954337899
Pers_Vec_Vectorization_V1_V2,R2_w7,0.79891355692017
Pers_Vec_Vectorization_V1_V3,R2_w7,0.7920075578649032
Pers_Vec_Vectorization_V2_V3,R2_w7,0.7920170051960322
Pers_Vec_Vectorization_nooverlap_all,R2_w7,0.7878789159937428
Pers_Vec_Vectorization_nooverlap_V1,R2_w7,0.7879375951293759
Pers_Vec_Vectorization_nooverlap_V2,R2_w7,0.7934170471841704
Pers_Vec_Vectorization_nooverlap_V3,R2_w7,0.7851217656012175
Pers_Vec_Vectorization_nooverlap_V1_V2,R2_w7,0.7934057628719888
Pers_Vec_Vectorization_nooverlap_V1_V3,R2_w7,0.7892678318375059
Pers_Vec_Vectorization_nooverlap_V2_V3,R2_w7,0.7851204534718942
Pers_Vec_Vectorization_nocount_all,R2_w7,0.7888048027734326
Pers_Vec_Vectorization_nocount_V1,R2_w7,0.7851978691019786
Pers_Vec_Vectorization_nocount_V2,R2_w7,0.7906392694063926
Pers_Vec_Vectorization_nocount_V3,R2_w7,0.7851217656012176
Pers_Vec_Vectorization_nocount_V1_V2,R2_w7,0.7920170051960321
Pers_Vec_Vectorization_nocount_V1_V3,R2_w7,0.7906471421823336
Pers_Vec_Vectorization_nocount_V2_V3,R2_w7,0.7878790741615493
Pers_Vec_Vectorization_nocount_nooverlap_all,R2_w7,0.7860398258149072
Pers_Vec_Vectorization_nocount_nooverlap_V1,R2_w7,0.7851598173515981
Pers_Vec_Vectorization_nocount_nooverlap_V2,R2_w7,0.790677321156773
Pers_Vec_Vectorization_nocount_nooverlap_V3,R2_w7,0.7850837138508371
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R2_w7,0.7851299008030231
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R2_w7,0.7878790741615493
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R2_w7,0.7864997638167217
Pers_Vec_Vectorization_noarea_all,R2_w7,0.7915613241449287
Pers_Vec_Vectorization_noarea_V1,R2_w7,0.7878995433789954
Pers_Vec_Vectorization_noarea_V2,R2_w7,0.7933789954337899
Pers_Vec_Vectorization_noarea_V3,R2_w7,0.7906773211567731
Pers_Vec_Vectorization_noarea_V1_V2,R2_w7,0.7933963155408597
Pers_Vec_Vectorization_noarea_V1_V3,R2_w7,0.7933963155408597
Pers_Vec_Vectorization_noarea_V2_V3,R2_w7,0.789258384506377
Betti_Vectorization_all_1,R3_w7,0.7952352767090856
