Vectorization_Method_and_lead,R_n,Accuracy,,,
Betti_Vectorization_all_1,R2_w7,0.786991079,,betti,
Betti_Vectorization_all_5,R2_w7,0.786974168,,0.768607306,76.86073059
Betti_Vectorization_all_10,R2_w7,0.798913457,,0.804452055,80.44520548
Betti_Vectorization_all_100,R2_w7,0.776886653,,,
Betti_Vectorization_V1_1,R2_w7,0.790791476,,CPV,
Betti_Vectorization_V1_5,R2_w7,0.774315068,,0.768607306,76.86073059
Betti_Vectorization_V1_10,R2_w7,0.777016743,,0.801712329,80.17123288
Betti_Vectorization_V1_100,R2_w7,0.771613394,,,
Betti_Vectorization_V2_1,R2_w7,0.790791476,,,
Betti_Vectorization_V2_5,R2_w7,0.774162861,,,
Betti_Vectorization_V2_10,R2_w7,0.782496195,,,
Betti_Vectorization_V2_100,R2_w7,0.771575342,,,
Betti_Vectorization_V3_1,R2_w7,0.785350076,,,
Betti_Vectorization_V3_5,R2_w7,0.796270928,,,
Betti_Vectorization_V3_10,R2_w7,0.793607306,,,
Betti_Vectorization_V3_100,R2_w7,0.776940639,,,
Betti_Vectorization_V1_V2_1,R2_w7,0.790694379,,,
Betti_Vectorization_V1_V2_5,R2_w7,0.778280586,,,
Betti_Vectorization_V1_V2_10,R2_w7,0.785205479,,,
Betti_Vectorization_V1_V2_100,R2_w7,0.772791686,,,
Betti_Vectorization_V1_V3_1,R2_w7,0.787926311,,,
Betti_Vectorization_V1_V3_5,R2_w7,0.776929617,,,
Betti_Vectorization_V1_V3_10,R2_w7,0.792102031,,,
Betti_Vectorization_V1_V3_100,R2_w7,0.779659896,,,
Betti_Vectorization_V2_V3_1,R2_w7,0.786547,,,
Betti_Vectorization_V2_V3_5,R2_w7,0.792054795,,,
Betti_Vectorization_V2_V3_10,R2_w7,0.79341521,,,
Betti_Vectorization_V2_V3_100,R2_w7,0.771393481,,,
Pers_Vec_Vectorization_all,R2_w7,0.790665032,,,
Pers_Vec_Vectorization_V1,R2_w7,0.801712329,,,
Pers_Vec_Vectorization_V2,R2_w7,0.78805175,,,
Pers_Vec_Vectorization_V3,R2_w7,0.779794521,,,
Pers_Vec_Vectorization_V1_V2,R2_w7,0.793443552,,,
Pers_Vec_Vectorization_V1_V3,R2_w7,0.786547,,,
Pers_Vec_Vectorization_V2_V3,R2_w7,0.786556448,,,
Pers_Vec_Vectorization_nooverlap_all,R2_w7,0.790660804,,,
Pers_Vec_Vectorization_nooverlap_V1,R2_w7,0.785312024,,,
Pers_Vec_Vectorization_nooverlap_V2,R2_w7,0.788013699,,,
Pers_Vec_Vectorization_nooverlap_V3,R2_w7,0.788013699,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R2_w7,0.793443552,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R2_w7,0.787945205,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R2_w7,0.790684932,,,
Pers_Vec_Vectorization_nocount_all,R2_w7,0.786073648,,,
Pers_Vec_Vectorization_nocount_V1,R2_w7,0.78805175,,,
Pers_Vec_Vectorization_nocount_V2,R2_w7,0.782572298,,,
Pers_Vec_Vectorization_nocount_V3,R2_w7,0.790791476,,,
Pers_Vec_Vectorization_nocount_V1_V2,R2_w7,0.78378838,,,
Pers_Vec_Vectorization_nocount_V1_V3,R2_w7,0.790684932,,,
Pers_Vec_Vectorization_nocount_V2_V3,R2_w7,0.789315068,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R2_w7,0.784238786,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R2_w7,0.788013699,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R2_w7,0.782572298,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R2_w7,0.790791476,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R2_w7,0.786547,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R2_w7,0.789305621,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R2_w7,0.779650449,,,
Pers_Vec_Vectorization_noarea_all,R2_w7,0.786991079,,,
Pers_Vec_Vectorization_noarea_V1,R2_w7,0.790791476,,,
Pers_Vec_Vectorization_noarea_V2,R2_w7,0.790791476,,,
Pers_Vec_Vectorization_noarea_V3,R2_w7,0.785350076,,,
Pers_Vec_Vectorization_noarea_V1_V2,R2_w7,0.790694379,,,
Pers_Vec_Vectorization_noarea_V1_V3,R2_w7,0.787926311,,,
Pers_Vec_Vectorization_noarea_V2_V3,R2_w7,0.786547,,,
Betti_Vectorization_all_1,R3_w7,0.785139306,,,
Betti_Vectorization_all_5,R3_w7,0.789743373,,,
Betti_Vectorization_all_10,R3_w7,0.78973069,,,
Betti_Vectorization_all_100,R3_w7,0.784213419,,,
Betti_Vectorization_V1_1,R3_w7,0.788089802,,,
Betti_Vectorization_V1_5,R3_w7,0.804452055,,,
Betti_Vectorization_V1_10,R3_w7,0.768607306,,,
Betti_Vectorization_V1_100,R3_w7,0.785235921,,,
Betti_Vectorization_V2_1,R3_w7,0.782572298,,,
Betti_Vectorization_V2_5,R3_w7,0.785312024,,,
Betti_Vectorization_V2_10,R3_w7,0.785273973,,,
Betti_Vectorization_V2_100,R3_w7,0.776940639,,,
Betti_Vectorization_V3_1,R3_w7,0.793569254,,,
Betti_Vectorization_V3_5,R3_w7,0.782572298,,,
