Vectorization_Method_and_lead,R_n,Accuracy,,,
Betti_Vectorization_all_1,R2_w7,0.790635437,,betti,
Betti_Vectorization_all_5,R2_w7,0.790635437,,0.790635437,79.06354374
Betti_Vectorization_all_10,R2_w7,0.790635437,,0.792017005,79.20170052
Betti_Vectorization_all_100,R2_w7,0.790635437,,,
Betti_Vectorization_V1_1,R2_w7,0.790639269,,cpv,
Betti_Vectorization_V1_5,R2_w7,0.790639269,,0.775465281,77.54652811
Betti_Vectorization_V1_10,R2_w7,0.790639269,,0.793417047,79.34170472
Betti_Vectorization_V1_100,R2_w7,0.790639269,,,
Betti_Vectorization_V2_1,R2_w7,0.790639269,,,
Betti_Vectorization_V2_5,R2_w7,0.790639269,,,
Betti_Vectorization_V2_10,R2_w7,0.790639269,,,
Betti_Vectorization_V2_100,R2_w7,0.790639269,,,
Betti_Vectorization_V3_1,R2_w7,0.790639269,,,
Betti_Vectorization_V3_5,R2_w7,0.790639269,,,
Betti_Vectorization_V3_10,R2_w7,0.790639269,,,
Betti_Vectorization_V3_100,R2_w7,0.790639269,,,
Betti_Vectorization_V1_V2_1,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V2_5,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V2_10,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V2_100,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V3_1,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V3_5,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V3_10,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V3_100,R2_w7,0.790637695,,,
Betti_Vectorization_V2_V3_1,R2_w7,0.790637695,,,
Betti_Vectorization_V2_V3_5,R2_w7,0.790637695,,,
Betti_Vectorization_V2_V3_10,R2_w7,0.790637695,,,
Betti_Vectorization_V2_V3_100,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_all,R2_w7,0.790635437,,,
Pers_Vec_Vectorization_V1,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_V2,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_V3,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_V1_V2,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_V1_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_V2_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_all,R2_w7,0.790635437,,,
Pers_Vec_Vectorization_nooverlap_V1,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V2,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V3,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_all,R2_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_V1,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V2,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V3,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V1_V2,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V1_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_V2_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R2_w7,0.790635437,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R2_w7,0.775465281,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_all,R2_w7,0.790635437,,,
Pers_Vec_Vectorization_noarea_V1,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V2,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V3,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_noarea_V1_V2,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V1_V3,R2_w7,0.790637695,,,
Pers_Vec_Vectorization_noarea_V2_V3,R2_w7,0.790637695,,,
Betti_Vectorization_all_1,R3_w7,0.790635437,,,
Betti_Vectorization_all_5,R3_w7,0.790635437,,,
Betti_Vectorization_all_10,R3_w7,0.790635437,,,
