Vectorization_Method_and_lead,R_n,Accuracy,,,
Betti_Vectorization_all_1,R2_w7,0.790635437,,,
Betti_Vectorization_all_5,R2_w7,0.789709551,,betti,
Betti_Vectorization_all_10,R2_w7,0.790622754,,0.727283105,72.7283105
Betti_Vectorization_all_100,R2_w7,0.776852831,,0.807191781,80.71917808
Betti_Vectorization_V1_1,R2_w7,0.790639269,,,
Betti_Vectorization_V1_5,R2_w7,0.793417047,,CPV,
Betti_Vectorization_V1_10,R2_w7,0.798934551,,0.790635437,79.06354374
Betti_Vectorization_V1_100,R2_w7,0.773858447,,0.790639269,79.06392694
Betti_Vectorization_V2_1,R2_w7,0.790639269,,,
Betti_Vectorization_V2_5,R2_w7,0.801712329,,,
Betti_Vectorization_V2_10,R2_w7,0.790639269,,,
Betti_Vectorization_V2_100,R2_w7,0.743873668,,,
Betti_Vectorization_V3_1,R2_w7,0.790639269,,,
Betti_Vectorization_V3_5,R2_w7,0.790639269,,,
Betti_Vectorization_V3_10,R2_w7,0.78782344,,,
Betti_Vectorization_V3_100,R2_w7,0.757534247,,,
Betti_Vectorization_V1_V2_1,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V2_5,R2_w7,0.798875768,,,
Betti_Vectorization_V1_V2_10,R2_w7,0.794775626,,,
Betti_Vectorization_V1_V2_100,R2_w7,0.782427964,,,
Betti_Vectorization_V1_V3_1,R2_w7,0.790637695,,,
Betti_Vectorization_V1_V3_5,R2_w7,0.785129901,,,
Betti_Vectorization_V1_V3_10,R2_w7,0.785148795,,,
Betti_Vectorization_V1_V3_100,R2_w7,0.769985829,,,
Betti_Vectorization_V2_V3_1,R2_w7,0.790637695,,,
Betti_Vectorization_V2_V3_5,R2_w7,0.787879074,,,
Betti_Vectorization_V2_V3_10,R2_w7,0.783741143,,,
Betti_Vectorization_V2_V3_100,R2_w7,0.765885687,,,
Pers_Vec_Vectorization_all,R2_w7,0.790635437,,,
Pers_Vec_Vectorization_V1,R2_w7,0.790639269,,,
