Vectorization_Method_and_lead,R_n,Accuracy,,betti
Betti_Vectorization_all_1,R2_w7,0.742903649,,0.721689498
Betti_Vectorization_all_5,R2_w7,0.762190843,,0.799010654
Betti_Vectorization_all_10,R2_w7,0.775043335,,
Betti_Vectorization_all_100,R2_w7,0.77871306,,cpv
Betti_Vectorization_V1_1,R2_w7,0.732762557,,0.691400304
Betti_Vectorization_V1_5,R2_w7,0.746765601,,0.793531202
Betti_Vectorization_V1_10,R2_w7,0.790715373,,
Betti_Vectorization_V1_100,R2_w7,0.785197869,,
Betti_Vectorization_V2_1,R2_w7,0.746689498,,
Betti_Vectorization_V2_5,R2_w7,0.735578387,,
Betti_Vectorization_V2_10,R2_w7,0.735502283,,
Betti_Vectorization_V2_100,R2_w7,0.793302892,,
Betti_Vectorization_V3_1,R2_w7,0.730060883,,
Betti_Vectorization_V3_5,R2_w7,0.771385084,,
Betti_Vectorization_V3_10,R2_w7,0.776978691,,
Betti_Vectorization_V3_100,R2_w7,0.746613394,,
Betti_Vectorization_V1_V2_1,R2_w7,0.757581483,,
Betti_Vectorization_V1_V2_5,R2_w7,0.741076996,,
Betti_Vectorization_V1_V2_10,R2_w7,0.757619273,,
Betti_Vectorization_V1_V2_100,R2_w7,0.792026453,,
Betti_Vectorization_V1_V3_1,R2_w7,0.747954653,,
Betti_Vectorization_V1_V3_5,R2_w7,0.732829476,,
Betti_Vectorization_V1_V3_10,R2_w7,0.782399622,,
Betti_Vectorization_V1_V3_100,R2_w7,0.772763344,,
Betti_Vectorization_V2_V3_1,R2_w7,0.732753897,,
Betti_Vectorization_V2_V3_5,R2_w7,0.757562589,,
Betti_Vectorization_V2_V3_10,R2_w7,0.765847898,,
Betti_Vectorization_V2_V3_100,R2_w7,0.769995276,,
Pers_Vec_Vectorization_all,R2_w7,0.774130131,,
Pers_Vec_Vectorization_V1,R2_w7,0.760312024,,
Pers_Vec_Vectorization_V2,R2_w7,0.77130898,,
Pers_Vec_Vectorization_V3,R2_w7,0.765905632,,
Pers_Vec_Vectorization_V1_V2,R2_w7,0.768653755,,
