Vectorization_Method_and_lead,R_n,Accuracy,,betti,
Betti_Vectorization_all_1,R2_w7,0.791561324,,0.76309,76.30898021
Betti_Vectorization_all_5,R2_w7,0.793391959,,0.80723,80.72298326
Betti_Vectorization_all_10,R2_w7,0.789713778,,,
Betti_Vectorization_all_100,R2_w7,0.788804803,,CPV,
Betti_Vectorization_V1_1,R2_w7,0.787899543,,0.776788432,77.67884323
Betti_Vectorization_V1_5,R2_w7,0.785235921,,0.804490107,80.44901065
Betti_Vectorization_V1_10,R2_w7,0.790677321,,,
Betti_Vectorization_V1_100,R2_w7,0.804528158,,,
Betti_Vectorization_V2_1,R2_w7,0.793378995,,,
Betti_Vectorization_V2_5,R2_w7,0.798896499,,,
Betti_Vectorization_V2_10,R2_w7,0.782343988,,,
Betti_Vectorization_V2_100,R2_w7,0.798972603,,,
Betti_Vectorization_V3_1,R2_w7,0.790677321,,,
Betti_Vectorization_V3_5,R2_w7,0.798972603,,,
Betti_Vectorization_V3_10,R2_w7,0.804528158,,,
Betti_Vectorization_V3_100,R2_w7,0.776788432,,,
Betti_Vectorization_V1_V2_1,R2_w7,0.793396316,,,
Betti_Vectorization_V1_V2_5,R2_w7,0.793396316,,,
Betti_Vectorization_V1_V2_10,R2_w7,0.790647142,,,
Betti_Vectorization_V1_V2_100,R2_w7,0.785120453,,,
Betti_Vectorization_V1_V3_1,R2_w7,0.793396316,,,
Betti_Vectorization_V1_V3_5,R2_w7,0.787897969,,,
Betti_Vectorization_V1_V3_10,R2_w7,0.792045347,,,
Betti_Vectorization_V1_V3_100,R2_w7,0.786528106,,,
Betti_Vectorization_V2_V3_1,R2_w7,0.789258385,,,
Betti_Vectorization_V2_V3_5,R2_w7,0.796154936,,,
Betti_Vectorization_V2_V3_10,R2_w7,0.7906188,,,
Betti_Vectorization_V2_V3_100,R2_w7,0.794728389,,,
Pers_Vec_Vectorization_all,R2_w7,0.792482983,,,
Pers_Vec_Vectorization_V1,R2_w7,0.779604262,,,
Pers_Vec_Vectorization_V2,R2_w7,0.796194825,,,
Pers_Vec_Vectorization_V3,R2_w7,0.793378995,,,
Pers_Vec_Vectorization_V1_V2,R2_w7,0.798913557,,,
Pers_Vec_Vectorization_V1_V3,R2_w7,0.792007558,,,
Pers_Vec_Vectorization_V2_V3,R2_w7,0.792017005,,,
Pers_Vec_Vectorization_nooverlap_all,R2_w7,0.787878916,,,
Pers_Vec_Vectorization_nooverlap_V1,R2_w7,0.787937595,,,
Pers_Vec_Vectorization_nooverlap_V2,R2_w7,0.793417047,,,
Pers_Vec_Vectorization_nooverlap_V3,R2_w7,0.785121766,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R2_w7,0.793405763,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R2_w7,0.789267832,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R2_w7,0.785120453,,,
Pers_Vec_Vectorization_nocount_all,R2_w7,0.788804803,,,
Pers_Vec_Vectorization_nocount_V1,R2_w7,0.785197869,,,
Pers_Vec_Vectorization_nocount_V2,R2_w7,0.790639269,,,
Pers_Vec_Vectorization_nocount_V3,R2_w7,0.785121766,,,
Pers_Vec_Vectorization_nocount_V1_V2,R2_w7,0.792017005,,,
Pers_Vec_Vectorization_nocount_V1_V3,R2_w7,0.790647142,,,
Pers_Vec_Vectorization_nocount_V2_V3,R2_w7,0.787879074,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R2_w7,0.786039826,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R2_w7,0.785159817,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R2_w7,0.790677321,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R2_w7,0.785083714,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R2_w7,0.785129901,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R2_w7,0.787879074,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R2_w7,0.786499764,,,
Pers_Vec_Vectorization_noarea_all,R2_w7,0.791561324,,,
Pers_Vec_Vectorization_noarea_V1,R2_w7,0.787899543,,,
Pers_Vec_Vectorization_noarea_V2,R2_w7,0.793378995,,,
Pers_Vec_Vectorization_noarea_V3,R2_w7,0.790677321,,,
Pers_Vec_Vectorization_noarea_V1_V2,R2_w7,0.793396316,,,
Pers_Vec_Vectorization_noarea_V1_V3,R2_w7,0.793396316,,,
Pers_Vec_Vectorization_noarea_V2_V3,R2_w7,0.789258385,,,
Betti_Vectorization_all_1,R3_w7,0.795235277,,,
Betti_Vectorization_all_5,R3_w7,0.794317846,,,
Betti_Vectorization_all_10,R3_w7,0.800731408,,,
Betti_Vectorization_all_100,R3_w7,0.804418044,,,
Betti_Vectorization_V1_1,R3_w7,0.793417047,,,
Betti_Vectorization_V1_5,R3_w7,0.785121766,,,
Betti_Vectorization_V1_10,R3_w7,0.787899543,,,
Betti_Vectorization_V1_100,R3_w7,0.763089802,,,
Betti_Vectorization_V2_1,R3_w7,0.796156773,,,
Betti_Vectorization_V2_5,R3_w7,0.793378995,,,
Betti_Vectorization_V2_10,R3_w7,0.779680365,,,
Betti_Vectorization_V2_100,R3_w7,0.807229833,,,
Betti_Vectorization_V3_1,R3_w7,0.801674277,,,
Betti_Vectorization_V3_5,R3_w7,0.798934551,,,
Betti_Vectorization_V3_10,R3_w7,0.793455099,,,
Betti_Vectorization_V3_100,R3_w7,0.796156773,,,
Betti_Vectorization_V1_V2_1,R3_w7,0.793396316,,,
Betti_Vectorization_V1_V2_5,R3_w7,0.793396316,,,
Betti_Vectorization_V1_V2_10,R3_w7,0.794775626,,,
Betti_Vectorization_V1_V2_100,R3_w7,0.807179972,,,
Betti_Vectorization_V1_V3_1,R3_w7,0.794775626,,,
Betti_Vectorization_V1_V3_5,R3_w7,0.794775626,,,
Betti_Vectorization_V1_V3_10,R3_w7,0.793377421,,,
Betti_Vectorization_V1_V3_100,R3_w7,0.794756731,,,
Betti_Vectorization_V2_V3_1,R3_w7,0.794775626,,,
Betti_Vectorization_V2_V3_5,R3_w7,0.796145489,,,
Betti_Vectorization_V2_V3_10,R3_w7,0.796126594,,,
Betti_Vectorization_V2_V3_100,R3_w7,0.807170524,,,
Pers_Vec_Vectorization_all,R3_w7,0.796161163,,,
Pers_Vec_Vectorization_V1,R3_w7,0.790601218,,,
Pers_Vec_Vectorization_V2,R3_w7,0.793378995,,,
Pers_Vec_Vectorization_V3,R3_w7,0.790639269,,,
Pers_Vec_Vectorization_V1_V2,R3_w7,0.790628248,,,
Pers_Vec_Vectorization_V1_V3,R3_w7,0.794775626,,,
Pers_Vec_Vectorization_V2_V3,R3_w7,0.796154936,,,
Pers_Vec_Vectorization_nooverlap_all,R3_w7,0.789718006,,,
Pers_Vec_Vectorization_nooverlap_V1,R3_w7,0.801636225,,,
Pers_Vec_Vectorization_nooverlap_V2,R3_w7,0.776788432,,,
Pers_Vec_Vectorization_nooverlap_V3,R3_w7,0.785159817,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R3_w7,0.786490316,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R3_w7,0.790637695,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R3_w7,0.782361833,,,
Pers_Vec_Vectorization_nocount_all,R3_w7,0.788809031,,,
Pers_Vec_Vectorization_nocount_V1,R3_w7,0.785159817,,,
Pers_Vec_Vectorization_nocount_V2,R3_w7,0.782343988,,,
Pers_Vec_Vectorization_nocount_V3,R3_w7,0.779642314,,,
Pers_Vec_Vectorization_nocount_V1_V2,R3_w7,0.786490316,,,
Pers_Vec_Vectorization_nocount_V1_V3,R3_w7,0.783741143,,,
Pers_Vec_Vectorization_nocount_V2_V3,R3_w7,0.787879074,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R3_w7,0.789713778,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R3_w7,0.798858447,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R3_w7,0.776788432,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R3_w7,0.785121766,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R3_w7,0.792007558,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R3_w7,0.790628248,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R3_w7,0.779603212,,,
Pers_Vec_Vectorization_noarea_all,R3_w7,0.795235277,,,
Pers_Vec_Vectorization_noarea_V1,R3_w7,0.793417047,,,
Pers_Vec_Vectorization_noarea_V2,R3_w7,0.796156773,,,
Pers_Vec_Vectorization_noarea_V3,R3_w7,0.801674277,,,
Pers_Vec_Vectorization_noarea_V1_V2,R3_w7,0.793396316,,,
Pers_Vec_Vectorization_noarea_V1_V3,R3_w7,0.794775626,,,
Pers_Vec_Vectorization_noarea_V2_V3,R3_w7,0.794775626,,,
Betti_Vectorization_all_1,R4_w7,0.791565552,,,
Betti_Vectorization_all_5,R4_w7,0.794322073,,,
Betti_Vectorization_all_10,R4_w7,0.798921913,,,
Betti_Vectorization_all_100,R4_w7,0.786953029,,,
Betti_Vectorization_V1_1,R4_w7,0.793417047,,,
Betti_Vectorization_V1_5,R4_w7,0.796232877,,,
Betti_Vectorization_V1_10,R4_w7,0.790715373,,,
Betti_Vectorization_V1_100,R4_w7,0.763089802,,,
Betti_Vectorization_V2_1,R4_w7,0.796156773,,,
Betti_Vectorization_V2_5,R4_w7,0.796156773,,,
Betti_Vectorization_V2_10,R4_w7,0.779718417,,,
Betti_Vectorization_V2_100,R4_w7,0.78238204,,,
Betti_Vectorization_V3_1,R4_w7,0.804490107,,,
Betti_Vectorization_V3_5,R4_w7,0.790639269,,,
Betti_Vectorization_V3_10,R4_w7,0.782496195,,,
Betti_Vectorization_V3_100,R4_w7,0.798972603,,,
Betti_Vectorization_V1_V2_1,R4_w7,0.792017005,,,
Betti_Vectorization_V1_V2_5,R4_w7,0.794775626,,,
Betti_Vectorization_V1_V2_10,R4_w7,0.781029759,,,
Betti_Vectorization_V1_V2_100,R4_w7,0.783741143,,,
Betti_Vectorization_V1_V3_1,R4_w7,0.793396316,,,
Betti_Vectorization_V1_V3_5,R4_w7,0.796154936,,,
Betti_Vectorization_V1_V3_10,R4_w7,0.790647142,,,
Betti_Vectorization_V1_V3_100,R4_w7,0.793396316,,,
Betti_Vectorization_V2_V3_1,R4_w7,0.794766179,,,
Betti_Vectorization_V2_V3_5,R4_w7,0.792017005,,,
Betti_Vectorization_V2_V3_10,R4_w7,0.786509211,,,
Betti_Vectorization_V2_V3_100,R4_w7,0.790628248,,,
Pers_Vec_Vectorization_all,R4_w7,0.797082822,,,
Pers_Vec_Vectorization_V1,R4_w7,0.785197869,,,
Pers_Vec_Vectorization_V2,R4_w7,0.798972603,,,
Pers_Vec_Vectorization_V3,R4_w7,0.790601218,,,
Pers_Vec_Vectorization_V1_V2,R4_w7,0.796154936,,,
Pers_Vec_Vectorization_V1_V3,R4_w7,0.796154936,,,
Pers_Vec_Vectorization_V2_V3,R4_w7,0.796164384,,,
Pers_Vec_Vectorization_nooverlap_all,R4_w7,0.78696994,,,
Pers_Vec_Vectorization_nooverlap_V1,R4_w7,0.776902588,,,
Pers_Vec_Vectorization_nooverlap_V2,R4_w7,0.785121766,,,
Pers_Vec_Vectorization_nooverlap_V3,R4_w7,0.785121766,,,
Pers_Vec_Vectorization_nooverlap_V1_V2,R4_w7,0.786509211,,,
Pers_Vec_Vectorization_nooverlap_V1_V3,R4_w7,0.786509211,,,
Pers_Vec_Vectorization_nooverlap_V2_V3,R4_w7,0.789248937,,,
Pers_Vec_Vectorization_nocount_all,R4_w7,0.788804803,,,
Pers_Vec_Vectorization_nocount_V1,R4_w7,0.782458143,,,
Pers_Vec_Vectorization_nocount_V2,R4_w7,0.796118721,,,
Pers_Vec_Vectorization_nocount_V3,R4_w7,0.78782344,,,
Pers_Vec_Vectorization_nocount_V1_V2,R4_w7,0.789267832,,,
Pers_Vec_Vectorization_nocount_V1_V3,R4_w7,0.785139348,,,
Pers_Vec_Vectorization_nocount_V2_V3,R4_w7,0.794775626,,,
Pers_Vec_Vectorization_nocount_nooverlap_all,R4_w7,0.795231049,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1,R4_w7,0.793455099,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2,R4_w7,0.785121766,,,
Pers_Vec_Vectorization_nocount_nooverlap_V3,R4_w7,0.776826484,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V2,R4_w7,0.790637695,,,
Pers_Vec_Vectorization_nocount_nooverlap_V1_V3,R4_w7,0.792017005,,,
Pers_Vec_Vectorization_nocount_nooverlap_V2_V3,R4_w7,0.790628248,,,
Pers_Vec_Vectorization_noarea_all,R4_w7,0.791565552,,,
Pers_Vec_Vectorization_noarea_V1,R4_w7,0.793417047,,,
Pers_Vec_Vectorization_noarea_V2,R4_w7,0.796156773,,,
Pers_Vec_Vectorization_noarea_V3,R4_w7,0.804490107,,,
Pers_Vec_Vectorization_noarea_V1_V2,R4_w7,0.792017005,,,
Pers_Vec_Vectorization_noarea_V1_V3,R4_w7,0.793396316,,,
Pers_Vec_Vectorization_noarea_V2_V3,R4_w7,0.794766179,,,
