Vectorization_Method,Dimension,Leads,N,TIME
Betti_Vectorization,R2,_all,1,4.101510286
Betti_Vectorization,R2,_all,5,6.787478209
Betti_Vectorization,R2,_all,10,10.24254513
Betti_Vectorization,R2,_all,100,73.07496953
Betti_Vectorization,R2,_V1,1,2.004259825
Betti_Vectorization,R2,_V1,5,2.959384441
Betti_Vectorization,R2,_V1,10,4.126079559
Betti_Vectorization,R2,_V1,100,25.26296806
Betti_Vectorization,R2,_V2,1,2.002131939
Betti_Vectorization,R2,_V2,5,2.92950654
Betti_Vectorization,R2,_V2,10,4.081485271
Betti_Vectorization,R2,_V2,100,24.99044442
Betti_Vectorization,R2,_V3,1,1.987276077
Betti_Vectorization,R2,_V3,5,2.91273284
Betti_Vectorization,R2,_V3,10,4.055781603
Betti_Vectorization,R2,_V3,100,24.76731563
Betti_Vectorization,R2,_V1_V2,1,3.005734921
Betti_Vectorization,R2,_V1_V2,5,4.865629911
Betti_Vectorization,R2,_V1_V2,10,7.187588692
Betti_Vectorization,R2,_V1_V2,100,49.14900637
Betti_Vectorization,R2,_V1_V3,1,2.97983861
Betti_Vectorization,R2,_V1_V3,5,4.83468914
Betti_Vectorization,R2,_V1_V3,10,7.156154394
Betti_Vectorization,R2,_V1_V3,100,48.97162151
Betti_Vectorization,R2,_V2_V3,1,2.961754084
Betti_Vectorization,R2,_V2_V3,5,4.837346315
Betti_Vectorization,R2,_V2_V3,10,7.134976387
Betti_Vectorization,R2,_V2_V3,100,48.66385627
Betti_Vectorization,R3,_all,1,3.04540658
Betti_Vectorization,R3,_all,5,4.982498169
Betti_Vectorization,R3,_all,10,7.393270493
Betti_Vectorization,R3,_all,100,50.88004041
Betti_Vectorization,R3,_V1,1,2.068563223
Betti_Vectorization,R3,_V1,5,3.082757711
Betti_Vectorization,R3,_V1,10,4.325699329
Betti_Vectorization,R3,_V1,100,26.94906998
Betti_Vectorization,R3,_V2,1,2.039073706
Betti_Vectorization,R3,_V2,5,3.016878843
Betti_Vectorization,R3,_V2,10,4.234993696
Betti_Vectorization,R3,_V2,100,26.22006583
Betti_Vectorization,R3,_V3,1,2.025396824
Betti_Vectorization,R3,_V3,5,2.982173204
Betti_Vectorization,R3,_V3,10,4.181034088
Betti_Vectorization,R3,_V3,100,25.81825638
Betti_Vectorization,R3,_V1_V2,1,3.101847887
Betti_Vectorization,R3,_V1_V2,5,5.112977743
Betti_Vectorization,R3,_V1_V2,10,7.563675165
Betti_Vectorization,R3,_V1_V2,100,52.08082175
Betti_Vectorization,R3,_V1_V3,1,3.079903841
Betti_Vectorization,R3,_V1_V3,5,5.0355618
Betti_Vectorization,R3,_V1_V3,10,7.500925541
Betti_Vectorization,R3,_V1_V3,100,51.72153354
Betti_Vectorization,R3,_V2_V3,1,3.050964355
Betti_Vectorization,R3,_V2_V3,5,4.988359928
Betti_Vectorization,R3,_V2_V3,10,7.416998625
Betti_Vectorization,R3,_V2_V3,100,50.91665936
Betti_Vectorization,R4,_all,1,3.084817886
Betti_Vectorization,R4,_all,5,5.048560381
Betti_Vectorization,R4,_all,10,7.520216227
Betti_Vectorization,R4,_all,100,51.92673969
Betti_Vectorization,R4,_V1,1,2.106662512
Betti_Vectorization,R4,_V1,5,3.140397072
Betti_Vectorization,R4,_V1,10,4.439108133
Betti_Vectorization,R4,_V1,100,27.70267081
Betti_Vectorization,R4,_V2,1,2.068644285
Betti_Vectorization,R4,_V2,5,3.071543217
Betti_Vectorization,R4,_V2,10,4.31362915
Betti_Vectorization,R4,_V2,100,26.79522848
Betti_Vectorization,R4,_V3,1,2.041509867
Betti_Vectorization,R4,_V3,5,3.017011404
Betti_Vectorization,R4,_V3,10,4.24179244
Betti_Vectorization,R4,_V3,100,26.1975944
Betti_Vectorization,R4,_V1_V2,1,3.155675173
Betti_Vectorization,R4,_V1_V2,5,5.175527334
Betti_Vectorization,R4,_V1_V2,10,7.734107733
Betti_Vectorization,R4,_V1_V2,100,53.53336453
Betti_Vectorization,R4,_V1_V3,1,3.145848274
Betti_Vectorization,R4,_V1_V3,5,5.169344425
Betti_Vectorization,R4,_V1_V3,10,7.666850328
Betti_Vectorization,R4,_V1_V3,100,53.00955558
Betti_Vectorization,R4,_V2_V3,1,3.087153912
Betti_Vectorization,R4,_V2_V3,5,5.064178228
Betti_Vectorization,R4,_V2_V3,10,7.538018465
Betti_Vectorization,R4,_V2_V3,100,52.06925225
Pers_Vec_Vectorization,R2,_all,0,2.525090933
Pers_Vec_Vectorization,R2,_V1,0,1.774585009
Pers_Vec_Vectorization,R2,_V2,0,1.771872997
Pers_Vec_Vectorization,R2,_V3,0,1.760370493
Pers_Vec_Vectorization,R2,_V1_V2,0,2.528294563
Pers_Vec_Vectorization,R2,_V1_V3,0,2.51725173
Pers_Vec_Vectorization,R2,_V2_V3,0,2.517373085
Pers_Vec_Vectorization,R3,_all,0,2.569125414
Pers_Vec_Vectorization,R3,_V1,0,1.820628881
Pers_Vec_Vectorization,R3,_V2,0,1.798178434
Pers_Vec_Vectorization,R3,_V3,0,1.786851406
Pers_Vec_Vectorization,R3,_V1_V2,0,2.605487823
Pers_Vec_Vectorization,R3,_V1_V3,0,2.586685658
Pers_Vec_Vectorization,R3,_V2_V3,0,2.565483332
Pers_Vec_Vectorization,R4,_all,0,2.582242727
Pers_Vec_Vectorization,R4,_V1,0,1.838630915
Pers_Vec_Vectorization,R4,_V2,0,1.814480543
Pers_Vec_Vectorization,R4,_V3,0,1.796963692
Pers_Vec_Vectorization,R4,_V1_V2,0,2.63254261
Pers_Vec_Vectorization,R4,_V1_V3,0,2.618283272
Pers_Vec_Vectorization,R4,_V2_V3,0,2.600405216
Pers_Vec_Vectorization_nooverlap,R2,_all,0,2.676832914
Pers_Vec_Vectorization_nooverlap,R2,_V1,0,1.725447416
Pers_Vec_Vectorization_nooverlap,R2,_V2,0,1.723702431
Pers_Vec_Vectorization_nooverlap,R2,_V3,0,1.712386608
Pers_Vec_Vectorization_nooverlap,R2,_V1_V2,0,2.425754547
Pers_Vec_Vectorization_nooverlap,R2,_V1_V3,0,2.419664621
